"Device: USB-231"
"Serial Number: 219F0E1"
"Channel Count: 5"
"Sample Count: 17220"
"Start Time: 1/25/2024 12:37:30.522 PM"
"Scan Rate: 1000"
"Sample","Date/Time","Torque (V)","Temp1 (V)","CH2H Volt (V)","CH3H Current (V)","Temp2 (V)"
"250","1/25/2024 12:37:30.772 PM","-0.172","3.011","1.450","1.100","2.988"
"251","1/25/2024 12:37:30.773 PM","-0.158","3.010","1.451","1.098","2.987"
"252","1/25/2024 12:37:30.774 PM","-0.161","3.009","1.454","1.098","2.987"
"253","1/25/2024 12:37:30.775 PM","-0.171","3.010","1.453","1.098","2.988"
"254","1/25/2024 12:37:30.776 PM","-0.161","3.010","1.451","1.096","2.986"
"255","1/25/2024 12:37:30.777 PM","-0.170","3.010","1.452","1.097","2.986"
"256","1/25/2024 12:37:30.778 PM","-0.171","3.001","1.451","1.096","2.989"
"257","1/25/2024 12:37:30.779 PM","-0.155","3.005","1.449","1.099","2.984"
"258","1/25/2024 12:37:30.780 PM","-0.152","3.010","1.451","1.100","2.987"
"259","1/25/2024 12:37:30.781 PM","-0.160","3.006","1.452","1.100","2.987"
"260","1/25/2024 12:37:30.782 PM","-0.154","3.009","1.452","1.100","2.989"
"261","1/25/2024 12:37:30.783 PM","-0.163","3.018","1.454","1.098","2.987"
"262","1/25/2024 12:37:30.784 PM","-0.162","3.015","1.451","1.097","2.987"
"263","1/25/2024 12:37:30.785 PM","-0.165","3.013","1.456","1.097","2.989"
"264","1/25/2024 12:37:30.786 PM","-0.167","3.009","1.452","1.097","2.985"
"265","1/25/2024 12:37:30.787 PM","-0.165","3.024","1.452","1.101","2.986"
"266","1/25/2024 12:37:30.788 PM","-0.162","3.013","1.449","1.098","2.987"
"267","1/25/2024 12:37:30.789 PM","-0.160","3.010","1.450","1.099","2.987"
"268","1/25/2024 12:37:30.790 PM","-0.158","3.009","1.454","1.098","2.987"
"269","1/25/2024 12:37:30.791 PM","-0.164","3.009","1.450","1.098","2.986"
"270","1/25/2024 12:37:30.792 PM","-0.159","3.011","1.453","1.098","2.989"
"271","1/25/2024 12:37:30.793 PM","-0.167","3.009","1.449","1.099","2.985"
"272","1/25/2024 12:37:30.794 PM","-0.163","3.012","1.452","1.099","2.986"
"273","1/25/2024 12:37:30.795 PM","-0.166","2.999","1.452","1.098","2.987"
"274","1/25/2024 12:37:30.796 PM","-0.164","3.006","1.448","1.098","2.987"
"275","1/25/2024 12:37:30.797 PM","-0.169","3.013","1.452","1.100","2.986"
"276","1/25/2024 12:37:30.798 PM","-0.158","3.003","1.449","1.100","2.986"
"277","1/25/2024 12:37:30.799 PM","-0.161","3.008","1.449","1.099","2.988"
"278","1/25/2024 12:37:30.800 PM","-0.169","3.005","1.450","1.101","2.985"
"279","1/25/2024 12:37:30.801 PM","-0.159","3.006","1.451","1.098","2.982"
"280","1/25/2024 12:37:30.802 PM","-0.158","3.010","1.453","1.098","2.985"
